,Country,CumulativeProbability,InDegreeDivMax,RandomProbability,first_occurrence,isInfected
0,Vietnam,0.13872832369942195,1.3846153846153846,0.2179891302543946,2020-01-23,False
1,Singapore,0.1348747591522158,1.3461538461538463,0.19916217591092722,2020-01-23,False
2,Canada,0.05394990366088632,0.5384615384615384,0.40507472563718727,2020-01-23,False
3,France,0.06520533673880897,0.6961538461538461,0.5739933558786922,2020-01-24,False
4,Nepal,0.038019152716498146,0.39779560966611327,0.6832712028969274,2020-01-25,False
5,Malaysia,0.2517975145216179,2.6471776425013838,0.2683413706741796,2020-01-25,False
6,Australia,0.19915468656450994,2.103813213165731,0.14169431115808695,2020-01-26,False
7,Sri Lanka,0.05047072352047169,0.5335612828418583,0.8426982904287716,2020-01-27,False
8,Cambodia,0.12873948444291916,1.3681121037236146,0.7753740947583942,2020-01-27,False
9,Germany,0.29755140512365635,3.1901046196010223,0.7375332143552921,2020-01-27,False
10,Finland,0.0831774079668156,0.8639777866100917,0.242519357848466,2020-01-29,False
11,United Arab Emirates,0.18683665035250693,1.9486452265253882,0.29536980898848975,2020-01-29,False
12,India,0.24206111208991107,2.4988967592826925,0.29977062149074973,2020-01-30,False
13,Philippines,0.2162987453323929,2.253892329386257,0.33783054567773696,2020-01-30,False
14,United Kingdom,0.5941959638468108,6.037227279794089,0.18791278396769495,2020-01-31,False
15,Italy,0.5356470630108965,5.34233563115329,0.04858377602391606,2020-01-31,False
16,Russia,0.5588424470086394,5.721427682851313,0.8525743564797214,2020-01-31,False
17,Sweden,0.09355558584279938,0.8671729996016831,0.9851739898353709,2020-02-01,False
18,Spain,0.6852318742889499,6.165247582154057,0.24117568988014293,2020-02-01,False
19,Belgium,0.16425541161646584,1.789418064614044,0.13507786274823785,2020-02-04,False
20,Egypt,0.11598079712521848,1.3544924330624108,0.5003210564727874,2020-02-14,False
21,Iran,0.11417852851352785,1.3276945188002363,0.37273631713428257,2020-02-19,False
22,Lebanon,0.027670825759106232,0.35464193556421575,0.43619931011359425,2020-02-21,False
23,Israel,0.10917611006360593,1.3314268526753494,0.7459685925889117,2020-02-21,False
24,Chile,0.016311660123344444,0.19711495780332436,0.20686176992527316,2020-02-23,False
25,Bahrain,0.05497166045350216,0.704119434932901,0.6955706638931444,2020-02-24,False
26,Afghanistan,0.019389967413827956,0.2643711455492475,0.3853310748640014,2020-02-24,False
27,Kuwait,0.06703662739640845,0.8841167008023254,0.48791385018577615,2020-02-24,False
28,Oman,0.08505302570890251,1.0943645905281314,0.10531861507815743,2020-02-24,False
29,Iraq,0.06259860535681241,0.8369406253413338,0.22748916704008415,2020-02-24,False
30,Croatia,0.2870243582495663,3.772166548731197,0.6001067111904179,2020-02-25,False
31,Algeria,0.2669864463129951,3.3009943559926667,0.8918317256823307,2020-02-25,False
32,Austria,0.2809221932778476,3.6862747481412006,0.44561347786317684,2020-02-25,False
33,Switzerland,0.43738672390081534,5.7512834573109215,0.9884342795460286,2020-02-25,False
34,Pakistan,0.2199939311850749,2.7625571967363007,0.8054267451943102,2020-02-25,False
35,Brazil,0.08007659342659643,1.0543581879389272,0.2560884546064428,2020-02-26,False
36,Norway,0.3522981749879517,4.830841945112108,0.8023526825170583,2020-02-26,False
37,Romania,0.21419208285742997,2.929580911103895,0.31921336556865665,2020-02-26,False
38,Greece,0.8445091822572101,11.16269934447412,0.054588956561041235,2020-02-26,False
39,Georgia,0.03900635322166184,0.5000623993897092,0.6553073018350241,2020-02-26,False
40,Estonia,0.05318970730066869,0.7200036561558989,0.9989045191970105,2020-02-27,False
41,Netherlands,0.6543250698591265,8.498788168447879,0.6266316685388859,2020-02-27,False
42,Denmark,0.33214842458504196,4.363063316069922,0.33137148878808986,2020-02-27,False
43,Iceland,0.08012185943653682,1.0191594964630148,0.5891568411624484,2020-02-28,False
44,Nigeria,0.05168053523162135,0.6676790501712345,0.17094643074703164,2020-02-28,False
45,Belarus,0.0835747801844669,1.0896211532161135,0.5354347023581962,2020-02-28,False
46,Mexico,0.205439559150075,2.4852093151317787,0.07990950189602652,2020-02-28,False
47,New Zealand,0.1770589153035655,2.1058097955918593,0.5152528977602838,2020-02-28,False
48,Luxembourg,0.13321845366722324,1.687090995265619,0.24832231827404305,2020-02-29,False
49,Qatar,0.3422733963599571,4.131158260686469,0.1697233556872133,2020-02-29,False
50,Ireland,0.6182126182828969,7.968395027191434,0.49815080298169523,2020-02-29,False
51,Ecuador,0.014283562920291707,0.17487997954360934,0.6592147647008246,2020-03-01,False
52,Dominican Republic,0.1568178544868256,1.8891090756809115,0.5027242937555277,2020-03-01,False
53,Czech Republic,0.31433709094766726,3.8981248953850236,0.4132628493486614,2020-03-01,False
54,Azerbaijan,0.12372870030813439,1.5234769609516876,0.7846156163784375,2020-03-01,False
55,Armenia,0.10573234438188635,1.340800576382616,0.4897252540811412,2020-03-01,False
56,Senegal,0.04631131593233951,0.5641638283509772,0.4449388178150788,2020-03-02,False
57,Saudi Arabia,0.626460263948386,7.425963380122136,0.04546416072739812,2020-03-02,False
58,Indonesia,0.6656934448707034,7.61122675018236,0.14563440866866073,2020-03-02,False
59,Latvia,0.19032785022379373,2.2657189948314036,0.21890841516983994,2020-03-02,False
60,Morocco,0.8019481646774301,9.550405066091036,0.7117305400333074,2020-03-02,False
