,Country,CumulativeProbability,InDegreeDivMax,RandomProbability,first_occurrence,isInfected
0,Vietnam,0.13872832369942195,1.3846153846153846,0.5666305138351849,2020-01-23,False
1,Singapore,0.1348747591522158,1.3461538461538463,0.07984351996541317,2020-01-23,False
2,Canada,0.05394990366088632,0.5384615384615384,0.4811639832011484,2020-01-23,False
3,France,0.06520533673880897,0.6961538461538461,0.8467136326657428,2020-01-24,False
4,Nepal,0.038019152716498146,0.39779560966611327,0.9238239220519617,2020-01-25,False
5,Malaysia,0.2517975145216179,2.6471776425013838,0.23556020435455394,2020-01-25,False
6,Australia,0.19915468656450994,2.103813213165731,0.19098671648681664,2020-01-26,False
7,Sri Lanka,0.05047072352047169,0.5335612828418583,0.20819749588260816,2020-01-27,False
8,Cambodia,0.12873948444291916,1.3681121037236146,0.07158624285479198,2020-01-27,False
9,Germany,0.29755140512365635,3.1901046196010223,0.2744174264509621,2020-01-27,False
10,Finland,0.0831774079668156,0.8639777866100917,0.08952553036869548,2020-01-29,False
11,United Arab Emirates,0.18683665035250693,1.9486452265253882,0.5916925109731002,2020-01-29,False
12,India,0.24206111208991107,2.4988967592826925,0.4152158229667967,2020-01-30,False
13,Philippines,0.2162987453323929,2.253892329386257,0.3504359689933023,2020-01-30,False
14,United Kingdom,0.5941959638468108,6.037227279794089,0.12655325528445782,2020-01-31,False
15,Italy,0.5356470630108965,5.34233563115329,0.12467769124091899,2020-01-31,False
16,Russia,0.5588424470086394,5.721427682851313,0.3848239951295839,2020-01-31,False
17,Sweden,0.09355558584279938,0.8671729996016831,0.7774974400885666,2020-02-01,False
18,Spain,0.6852318742889499,6.165247582154057,0.6079976270884361,2020-02-01,False
19,Belgium,0.16425541161646584,1.789418064614044,0.5723412849714271,2020-02-04,False
20,Egypt,0.11598079712521848,1.3544924330624108,0.27671863720967227,2020-02-14,False
21,Iran,0.11417852851352785,1.3276945188002363,0.829395170944352,2020-02-19,False
22,Lebanon,0.027670825759106232,0.35464193556421575,0.4996736327444594,2020-02-21,False
23,Israel,0.10917611006360593,1.3314268526753494,0.9488494106669599,2020-02-21,False
24,Chile,0.016311660123344444,0.19711495780332436,0.7858130722009051,2020-02-23,False
25,Bahrain,0.05497166045350216,0.704119434932901,0.8391265589835596,2020-02-24,False
26,Afghanistan,0.019389967413827956,0.2643711455492475,0.05421778230838292,2020-02-24,False
27,Kuwait,0.06703662739640845,0.8841167008023254,0.8042859519004854,2020-02-24,False
28,Oman,0.08505302570890251,1.0943645905281314,0.1392800905511391,2020-02-24,False
29,Iraq,0.06259860535681241,0.8369406253413338,0.2996852725291155,2020-02-24,False
30,Croatia,0.2870243582495663,3.772166548731197,0.059492888359652385,2020-02-25,False
31,Algeria,0.2669864463129951,3.3009943559926667,0.9478078756817612,2020-02-25,False
32,Austria,0.2809221932778476,3.6862747481412006,0.5739179349833263,2020-02-25,False
33,Switzerland,0.43738672390081534,5.7512834573109215,0.7947275319899891,2020-02-25,False
34,Pakistan,0.2199939311850749,2.7625571967363007,0.6847761247185833,2020-02-25,False
35,Brazil,0.08007659342659643,1.0543581879389272,0.18060342165241594,2020-02-26,False
36,Norway,0.3522981749879517,4.830841945112108,0.22049156526890568,2020-02-26,False
37,Romania,0.21419208285742997,2.929580911103895,0.7076844157797834,2020-02-26,False
38,Greece,0.8445091822572101,11.16269934447412,0.260857854213147,2020-02-26,False
39,Georgia,0.03900635322166184,0.5000623993897092,0.5463930897569239,2020-02-26,False
40,Estonia,0.05318970730066869,0.7200036561558989,0.34663896371374203,2020-02-27,False
41,Netherlands,0.6543250698591265,8.498788168447879,0.7483451953449418,2020-02-27,False
42,Denmark,0.33214842458504196,4.363063316069922,0.2870014084168321,2020-02-27,False
