,Country,CumulativeProbability,InDegreeDivMax,RandomProbability,first_occurrence,isInfected
0,Vietnam,0.13872832369942195,1.3846153846153846,0.13355281901387417,2020-01-23,False
1,Singapore,0.1348747591522158,1.3461538461538463,0.7809114955352822,2020-01-23,False
2,Canada,0.05394990366088632,0.5384615384615384,0.5559183444040438,2020-01-23,False
3,France,0.06520533673880897,0.6961538461538461,0.567021705214006,2020-01-24,False
4,Nepal,0.038019152716498146,0.39779560966611327,0.619265931897353,2020-01-25,False
5,Malaysia,0.2517975145216179,2.6471776425013838,0.41029624706970613,2020-01-25,False
6,Australia,0.19915468656450994,2.103813213165731,0.5851705157823844,2020-01-26,False
7,Sri Lanka,0.05047072352047169,0.5335612828418583,0.5879196826454387,2020-01-27,False
8,Cambodia,0.12873948444291916,1.3681121037236146,0.09170864678908663,2020-01-27,False
9,Germany,0.29755140512365635,3.1901046196010223,0.05618911255670389,2020-01-27,False
10,Finland,0.0831774079668156,0.8639777866100917,0.8671323763233211,2020-01-29,False
11,United Arab Emirates,0.18683665035250693,1.9486452265253882,0.7929615017500318,2020-01-29,False
12,India,0.24206111208991107,2.4988967592826925,0.7578353410387845,2020-01-30,False
13,Philippines,0.2162987453323929,2.253892329386257,0.8508650534404734,2020-01-30,False
14,United Kingdom,0.5941959638468108,6.037227279794089,0.3300105855633383,2020-01-31,False
15,Italy,0.5356470630108965,5.34233563115329,0.974671360290987,2020-01-31,False
16,Russia,0.5588424470086394,5.721427682851313,0.4059195725947605,2020-01-31,False
17,Sweden,0.09355558584279938,0.8671729996016831,0.7940744291907051,2020-02-01,False
18,Spain,0.6852318742889499,6.165247582154057,0.7998074551848202,2020-02-01,False
19,Belgium,0.16425541161646584,1.789418064614044,0.5489187526829788,2020-02-04,False
20,Egypt,0.11598079712521848,1.3544924330624108,0.8133709711152688,2020-02-14,False
21,Iran,0.11417852851352785,1.3276945188002363,0.8719834047979923,2020-02-19,False
22,Lebanon,0.027670825759106232,0.35464193556421575,0.2913165057487096,2020-02-21,False
23,Israel,0.10917611006360593,1.3314268526753494,0.8262707375515815,2020-02-21,False
24,Chile,0.016311660123344444,0.19711495780332436,0.42658935500858397,2020-02-23,False
25,Bahrain,0.05497166045350216,0.704119434932901,0.9462625933796969,2020-02-24,False
26,Afghanistan,0.019389967413827956,0.2643711455492475,0.18112004478404364,2020-02-24,False
27,Kuwait,0.06703662739640845,0.8841167008023254,0.4916892603359818,2020-02-24,False
28,Oman,0.08505302570890251,1.0943645905281314,0.9675627807152934,2020-02-24,False
29,Iraq,0.06259860535681241,0.8369406253413338,0.7367405452449479,2020-02-24,False
30,Croatia,0.2870243582495663,3.772166548731197,0.4917017788324638,2020-02-25,False
31,Algeria,0.2669864463129951,3.3009943559926667,0.4237060970174342,2020-02-25,False
32,Austria,0.2809221932778476,3.6862747481412006,0.16982064566601263,2020-02-25,False
33,Switzerland,0.43738672390081534,5.7512834573109215,0.9360887840328925,2020-02-25,False
34,Pakistan,0.2199939311850749,2.7625571967363007,0.7370155858943094,2020-02-25,False
35,Brazil,0.08007659342659643,1.0543581879389272,0.9966329254794011,2020-02-26,False
36,Norway,0.3522981749879517,4.830841945112108,0.8208085035517884,2020-02-26,False
37,Romania,0.21419208285742997,2.929580911103895,0.49917562214277933,2020-02-26,False
38,Greece,0.8445091822572101,11.16269934447412,0.7071002526738899,2020-02-26,False
39,Georgia,0.03900635322166184,0.5000623993897092,0.4935141348829436,2020-02-26,False
40,Estonia,0.05318970730066869,0.7200036561558989,0.7434859791155071,2020-02-27,False
41,Netherlands,0.6543250698591265,8.498788168447879,0.5139159381472493,2020-02-27,False
42,Denmark,0.33214842458504196,4.363063316069922,0.7538509949260658,2020-02-27,False
43,Iceland,0.08012185943653682,1.0191594964630148,0.21929637103799315,2020-02-28,False
44,Nigeria,0.05168053523162135,0.6676790501712345,0.16119582159019363,2020-02-28,False
45,Belarus,0.0835747801844669,1.0896211532161135,0.09631586532835823,2020-02-28,False
46,Mexico,0.205439559150075,2.4852093151317787,0.7296423800587656,2020-02-28,False
47,New Zealand,0.1770589153035655,2.1058097955918593,0.7984371087127614,2020-02-28,False
48,Luxembourg,0.13321845366722324,1.687090995265619,0.03939917037266183,2020-02-29,False
49,Qatar,0.3422733963599571,4.131158260686469,0.45564999843509246,2020-02-29,False
50,Ireland,0.6182126182828969,7.968395027191434,0.7997044078482836,2020-02-29,False
51,Ecuador,0.014283562920291707,0.17487997954360934,0.11917672679925573,2020-03-01,False
52,Dominican Republic,0.1568178544868256,1.8891090756809115,0.5618034778494742,2020-03-01,False
53,Czech Republic,0.31433709094766726,3.8981248953850236,0.48932872841823316,2020-03-01,False
54,Azerbaijan,0.12372870030813439,1.5234769609516876,0.9615133477405784,2020-03-01,False
55,Armenia,0.10573234438188635,1.340800576382616,0.40897722590383256,2020-03-01,False
56,Senegal,0.04631131593233951,0.5641638283509772,0.853690591530169,2020-03-02,False
57,Saudi Arabia,0.626460263948386,7.425963380122136,0.5686345516862011,2020-03-02,False
58,Indonesia,0.6656934448707034,7.61122675018236,0.22698088145621997,2020-03-02,False
59,Latvia,0.19032785022379373,2.2657189948314036,0.03873483950870393,2020-03-02,False
60,Morocco,0.8019481646774301,9.550405066091036,0.8110161497700898,2020-03-02,False
61,Portugal,0.9182673110597422,10.917653879557562,0.1226805173504737,2020-03-02,False
62,Jordan,0.1595005183286898,1.7620406321178579,0.022766523427708907,2020-03-03,False
63,Argentina,0.08352327649537976,0.864686891818801,0.8505742669133499,2020-03-03,False
64,Ukraine,0.41704538877442415,4.767566677348847,0.5782118464871169,2020-03-03,False
65,Faroe Islands,0.00961165900223709,0.08045461322219341,0.3030936998598661,2020-03-04,False
66,Gibraltar,0.025747324058423154,0.2936680916786533,0.7969201569532433,2020-03-04,False
67,Tunisia,0.5380197805257422,5.873592168763356,0.5407501652488856,2020-03-04,False
68,Hungary,0.32760336955737734,3.553074591573256,0.40139633698627375,2020-03-04,False
69,Poland,1.20556195155232,13.037354899103445,0.8320109712775832,2020-03-04,False
70,Slovenia,0.07157384614552674,0.7128353818763496,0.04329878175514923,2020-03-05,False
71,Bosnia and Herzegovina,0.05163458145851432,0.5131470404230878,0.20428189240300376,2020-03-05,False
72,South Africa,0.14814573645222243,1.4911193955472648,0.22663395202504888,2020-03-05,False
73,Bhutan,0.028752151425932574,0.29101697329137427,0.9533759918949899,2020-03-06,False
74,Colombia,0.091523100572413,0.7900094913185527,0.0016192127827669989,2020-03-06,False
75,Serbia,0.2975014667648816,2.784780642690272,0.0896164450871213,2020-03-06,False
76,Slovakia,0.11219669390440609,1.0886915363118834,0.0756071792809061,2020-03-06,False
77,Peru,0.0730985456913144,0.5963591705786614,0.6679341371042444,2020-03-06,False
78,Togo,0.021468188839667425,0.17545412174586655,0.1445220209143101,2020-03-06,False
79,Costa Rica,0.03336058073486629,0.3222545600285388,0.02158114790356258,2020-03-06,False
80,Cameroon,0.03985728682510563,0.36240631119546274,0.25971066658649844,2020-03-06,False
81,Malta,0.44389410753958003,4.077501580825805,0.24151871216277843,2020-03-07,False
82,Maldives,0.2006481172309215,1.8666692917657548,0.011412563714114365,2020-03-08,False
83,Bulgaria,0.36721452315413416,3.1889431778173294,0.09566006581877862,2020-03-08,False
84,Moldova,0.15599466377526275,1.342705024478633,0.592660160417109,2020-03-08,False
85,Paraguay,0.02276853156321246,0.1422394058989552,0.29543266923623446,2020-03-08,False
86,Bangladesh,0.2889680857919,2.577328634252506,0.5434303608359641,2020-03-08,False
87,Albania,0.12380565156962421,1.044118067199973,0.41355511218410035,2020-03-09,False
88,Brunei,0.11777240747876856,1.0287519490479813,0.2728511067252355,2020-03-09,False
89,Cyprus,0.5852653326653455,4.409310736905699,0.585632667408064,2020-03-10,False
90,Burkina Faso,0.04312433070824819,0.28741694179092275,0.24501859634652745,2020-03-10,False
91,Mongolia,0.11307233198187136,1.0436125725860665,0.5396038437272364,2020-03-10,False
92,Panama,0.19041645927892023,1.104769708623358,0.029491588878768016,2020-03-10,False
93,Bolivia,0.07251115995473434,0.4108782108513559,0.7540430906646048,2020-03-11,False
94,Honduras,0.014847020173640762,0.06537591599393897,0.7070714365539181,2020-03-11,False
95,Jamaica,0.11026575276554407,0.882071954069146,0.08862431291014405,2020-03-11,False
96,Cote d'Ivoire,0.07267087547702908,0.4664779995822603,0.6306110873959371,2020-03-11,False
97,Turkey,3.3419067757872583,24.338088463873127,0.9577910203838679,2020-03-11,False
98,Congo (Kinshasa),0.038915001401883906,0.2500343859848644,0.19681421696410784,2020-03-11,False
